i,age,lux,cond,rent,fp,basement,floors,amount,low,high,method,rih,n_tx,leader,rule,cost_value,market_value,matched_n,disp36,geo_n,geo_disp,stratum_match,resurvey,retention,effective_age,stack_finish,stack_cost,muc,age_sens_value,income_mode,teardown_fired,luxury_new_fired,lead_note,age_honesty,divergence,elapsed_s,error
0,,False,,,,,,2400000,2400000,5400000,comparison_thin,True,15,cost,cost_led,2378094,5400000,3,0.16505882352941176,51,0.62,False,False,0.5,25,ordinary,2378094,high,,,False,False,True,True,False,11.9,
1,,False,,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,3.89,
2,,False,,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,5.35,
3,,False,,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,4.0,
4,,False,new,,,,,2500000,2500000,5400000,comparison_thin,True,15,cost,cost_led,2546681,5400000,3,0.16505882352941176,51,0.62,False,False,0.66,17,ordinary,2546681,high,,,False,False,True,True,False,4.06,
5,,False,new,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,3.86,
6,,False,new,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,3.9,
7,,False,new,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,4.96,
8,,False,excellent,,,,,2600000,2600000,5400000,comparison_thin,True,15,cost,cost_led,2588828,5400000,3,0.16505882352941176,51,0.62,False,False,0.7,15,ordinary,2588828,high,,,False,False,True,True,False,6.57,
9,,False,excellent,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,7.34,
10,,False,excellent,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,4.96,
11,,False,excellent,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,5.34,
12,,False,renovated,,,,,2600000,2600000,5400000,comparison_thin,True,15,cost,cost_led,2609901,5400000,3,0.16505882352941176,51,0.62,False,False,0.72,14,ordinary,2609901,high,,,False,False,True,True,False,3.28,
13,,False,renovated,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.9,
14,,False,renovated,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.78,
15,,False,renovated,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.85,
16,,False,good,,,,,2400000,2400000,5400000,comparison_thin,True,15,cost,cost_led,2441314,5400000,3,0.16505882352941176,51,0.62,False,False,0.56,22,ordinary,2441314,high,,,False,False,True,True,False,1.78,
17,,False,good,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.92,
18,,False,good,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.73,
19,,False,good,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.71,
20,,False,average,,,,,2400000,2400000,5400000,comparison_thin,True,15,cost,cost_led,2378094,5400000,3,0.16505882352941176,51,0.62,False,False,0.5,25,ordinary,2378094,high,,,False,False,True,True,False,1.84,
21,,False,average,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.82,
22,,False,average,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.76,
23,,False,average,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.72,
24,,False,fair,,,,,2200000,2200000,5400000,comparison_thin,True,15,cost,cost_led,2230580,5400000,3,0.16505882352941176,51,0.62,False,False,0.36,32,ordinary,2230580,high,,,False,False,True,True,False,1.73,
25,,False,fair,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.72,
26,,False,fair,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.73,
27,,False,fair,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.7,
28,,False,poor,,,,,2100000,2100000,5400000,comparison_thin,True,15,cost,cost_led,2135750,5400000,3,0.16505882352941176,51,0.62,False,False,0.27,42,ordinary,2135750,high,,,False,False,True,True,False,1.73,
29,,False,poor,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.73,
30,,False,poor,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.7,
31,,False,poor,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.87,
32,,False,teardown,,,,,1800000,1500000,1900000,comparison_thin,,15,,,,,,,,,,,,,,,high,,,True,False,False,False,False,1.71,
33,,False,teardown,10000,,,,1800000,1500000,1900000,comparison_thin,,15,,,,,,,,,,,,,,,high,,,True,False,False,False,False,1.75,
34,,False,teardown,15000,,,,1800000,1500000,1900000,comparison_thin,,15,,,,,,,,,,,,,,,high,,,True,False,False,False,False,1.78,
35,,False,teardown,25000,,,,1800000,1500000,1900000,comparison_thin,,15,,,,,,,,,,,,,,,high,,,True,False,False,False,False,1.73,
36,,True,,,,,,2700000,2700000,5400000,comparison_thin,True,15,cost,cost_led,2689405,5400000,3,0.16505882352941176,51,0.62,False,False,0.5,25,luxury,2689405,high,,,False,False,True,True,False,1.81,
37,,True,,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.73,
38,,True,,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.78,
39,,True,,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.7,
40,,True,new,,,,,5100000,4300000,5500000,comparison_thin,,15,,,,,,,,,,,,,,,high,,,False,True,False,False,False,1.74,
41,,True,new,10000,,,,5100000,4300000,5500000,comparison_thin,,15,,,,,,,,,,,,,,,high,,,False,True,False,False,False,1.7,
42,,True,new,15000,,,,5100000,4300000,5500000,comparison_thin,,15,,,,,,,,,,,,,,,high,,,False,True,False,False,False,1.75,
43,,True,new,25000,,,,5100000,4300000,5500000,comparison_thin,,15,,,,,,,,,,,,,,,high,,,False,True,False,False,False,1.73,
44,,True,excellent,,,,,3000000,3000000,5400000,comparison_thin,True,15,cost,cost_led,3024663,5400000,3,0.16505882352941176,51,0.62,False,False,0.7,15,luxury,3024663,high,,,False,False,True,True,False,1.67,
45,,True,excellent,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.73,
46,,True,excellent,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.71,
47,,True,excellent,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.72,
48,,True,renovated,,,,,3100000,3100000,5400000,comparison_thin,True,15,cost,cost_led,3058189,5400000,3,0.16505882352941176,51,0.62,False,False,0.72,14,luxury,3058189,high,,,False,False,True,True,False,1.8,
49,,True,renovated,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.73,
50,,True,renovated,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.78,
51,,True,renovated,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.69,
52,,True,good,,,,,2800000,2800000,5400000,comparison_thin,True,15,cost,cost_led,2789982,5400000,3,0.16505882352941176,51,0.62,False,False,0.56,22,luxury,2789982,high,,,False,False,True,True,False,1.77,
53,,True,good,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.77,
54,,True,good,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.78,
55,,True,good,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.76,
56,,True,average,,,,,2700000,2700000,5400000,comparison_thin,True,15,cost,cost_led,2689405,5400000,3,0.16505882352941176,51,0.62,False,False,0.5,25,luxury,2689405,high,,,False,False,True,True,False,1.95,
57,,True,average,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,3.65,
58,,True,average,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,2.19,
59,,True,average,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.9,
60,,True,fair,,,,,2500000,2500000,5400000,comparison_thin,True,15,cost,cost_led,2454724,5400000,3,0.16505882352941176,51,0.62,False,False,0.36,32,luxury,2454724,high,,,False,False,True,True,False,1.62,
61,,True,fair,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.69,
62,,True,fair,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.68,
63,,True,fair,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.7,
64,,True,poor,,,,,2400000,2400000,5400000,comparison_thin,True,15,cost,cost_led,2370910,5400000,3,0.16505882352941176,51,0.62,False,False,0.31,42,luxury,2370910,high,,,False,False,True,True,False,1.69,
65,,True,poor,10000,,,,1900000,1600000,2100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.62,
66,,True,poor,15000,,,,2800000,2400000,3100000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.54,
67,,True,poor,25000,,,,4700000,4000000,5200000,comparison_thin,,15,,,,,,,,,,,,,,,high,,income_led,False,False,False,False,False,1.56,
68,,True,teardown,,,,,1800000,1500000,1900000,comparison_thin,,15,,,,,,,,,,,,,,,high,,,True,False,False,False,False,1.53,
69,,True,teardown,10000,,,,1800000,1500000,1900000,comparison_thin,,15,,,,,,,,,,,,,,,high,,,True,False,False,False,False,1.56,
70,,True,teardown,15000,,,,1800000,1500000,1900000,comparison_thin,,15,,,,,,,,,,,,,,,high,,,True,False,False,False,False,1.61,
